class,softmax_output,set
0,[0.99490595 0.00509404],
0,[0.9061614  0.09383862],
0,[9.9926287e-01 7.3717110e-04],
0,[0.9980519  0.00194816],
0,[0.99722904 0.00277097],
0,[0.9926286  0.00737138],
0,[0.99310535 0.00689462],
0,[0.9979948  0.00200524],
0,[9.9903274e-01 9.6727849e-04],
0,[0.45162773 0.54837227],
0,[0.9337503  0.06624972],
0,[0.9985267  0.00147331],
0,[0.99032    0.00967995],
0,[0.99775165 0.0022483 ],
0,[0.9905877  0.00941229],
0,[0.99883    0.00116995],
0,[0.9914813  0.00851869],
1,[0.14264037 0.85735965],
0,[0.98457146 0.01542851],
0,[0.9271514  0.07284865],
0,[0.8163935  0.18360648],
0,[0.99579287 0.0042071 ],
0,[9.9907541e-01 9.2456484e-04],
0,[0.96247953 0.03752039],
1,[0.01407121 0.9859287 ],
0,[0.95903957 0.04096039],
0,[9.9981064e-01 1.8944610e-04],
0,[0.9505712  0.04942884],
0,[0.97660124 0.02339883],
0,[0.9988424  0.00115757],
0,[9.9905545e-01 9.4454392e-04],
0,[0.9980416  0.00195836],
1,[0.05734088 0.94265914],
1,[0.01283304 0.98716694],
1,[0.06424287 0.93575716],
0,[0.29744667 0.70255333],
0,[0.9875967  0.01240331],
0,[9.9925274e-01 7.4720650e-04],
0,[0.9980725  0.00192742],
0,[0.9989605  0.00103955],
0,[9.996369e-01 3.630982e-04],
0,[0.9969501  0.00304992],
0,[9.9944848e-01 5.5149035e-04],
0,[9.995963e-01 4.037057e-04],
0,[0.98885393 0.0111461 ],
0,[9.9918205e-01 8.1791799e-04],
0,[0.9945979  0.00540211],
0,[0.9933682  0.00663185],
0,[0.98236614 0.01763389],
0,[0.99066    0.00933993],
1,[0.10575406 0.8942459 ],
0,[0.9957676  0.00423244],
0,[0.99602437 0.00397561],
0,[0.99891615 0.00108388],
0,[0.936181   0.06381899],
0,[0.91340584 0.08659416],
0,[0.99859875 0.0014013 ],
0,[0.99815035 0.00184968],
1,[0.04505228 0.95494765],
0,[0.9875937  0.01240633],
1,[0.00126215 0.9987379 ],
0,[0.9985586  0.00144146],
0,[0.9984596  0.00154043],
0,[9.993414e-01 6.586112e-04],
0,[0.8406332  0.15936682],
0,[0.9827679  0.01723213],
0,[0.9640416  0.03595835],
0,[0.99640477 0.00359529],
0,[0.95911646 0.04088351],
0,[0.99066645 0.0093335 ],
0,[9.9950969e-01 4.9031543e-04],
0,[0.99488044 0.00511961],
0,[0.26992604 0.7300739 ],
0,[0.99389005 0.0061099 ],
0,[0.95613474 0.04386523],
0,[0.9866768  0.01332316],
0,[0.9895648  0.01043523],
0,[0.99767286 0.00232709],
0,[0.99699956 0.00300044],
0,[9.994221e-01 5.779653e-04],
0,[0.99792284 0.00207722],
0,[0.9960663 0.0039337],
0,[9.9984217e-01 1.5778252e-04],
0,[0.9981086  0.00189136],
1,[0.07646625 0.9235337 ],
1,[0.13053218 0.8694678 ],
0,[0.99056154 0.00943851],
0,[0.93780947 0.06219058],
0,[0.9927912  0.00720885],
0,[0.9947752  0.00522477],
1,[0.20831048 0.7916895 ],
0,[9.9956363e-01 4.3637704e-04],
0,[0.99776053 0.00223943],
0,[0.99667776 0.00332229],
0,[0.69685763 0.30314237],
0,[0.99633586 0.0036641 ],
0,[0.60765254 0.3923475 ],
0,[0.99567986 0.00432014],
0,[0.97127265 0.02872736],
0,[9.9967456e-01 3.2546499e-04],
0,[0.99691844 0.00308159],
0,[0.9981147  0.00188537],
0,[0.9708694  0.02913054],
0,[0.9542238  0.04577626],
0,[0.3446424  0.65535766],
0,[9.9980634e-01 1.9370661e-04],
0,[0.96370614 0.03629387],
0,[0.98800766 0.01199238],
0,[0.9243553  0.07564463],
0,[0.9633605  0.03663953],
0,[0.9963845  0.00361553],
0,[0.998164   0.00183601],
0,[0.9875036  0.01249637],
0,[9.9960285e-01 3.9716635e-04],
0,[0.99469596 0.00530407],
1,[0.26960936 0.7303906 ],
0,[0.9922627  0.00773731],
0,[0.7198144  0.28018555],
0,[0.99898666 0.00101335],
0,[9.990476e-01 9.523959e-04],
0,[0.99841416 0.00158586],
0,[0.9598457  0.04015425],
0,[9.994956e-01 5.043701e-04],
0,[0.997497   0.00250299],
0,[0.31876838 0.68123156],
0,[0.99666214 0.00333794],
0,[0.98956233 0.01043767],
0,[0.9967277  0.00327227],
1,[0.05439869 0.94560134],
0,[0.9971916  0.00280837],
0,[0.99743927 0.00256069],
0,[0.9985745  0.00142555],
0,[0.88343596 0.11656403],
0,[0.04460286 0.9553972 ],
1,[0.09629295 0.903707  ],
0,[0.5808864  0.41911358],
0,[0.9670185  0.03298149],
0,[0.9911157  0.00888431],
0,[0.745463   0.25453696],
0,[9.9958318e-01 4.1686287e-04],
0,[0.99092066 0.0090794 ],
0,[0.9792195  0.02078048],
0,[0.9918018  0.00819824],
0,[0.95789516 0.04210486],
0,[0.996402   0.00359794],
0,[0.97758514 0.02241485],
0,[0.88878256 0.11121745],
0,[0.96317863 0.03682131],
0,[0.97003496 0.02996507],
0,[9.990607e-01 9.393472e-04],
0,[0.9760833  0.02391673],
0,[9.9921834e-01 7.8159949e-04],
1,[0.09135699 0.90864307],
0,[0.992427   0.00757305],
0,[0.9782314  0.02176862],
0,[0.9891321  0.01086791],
0,[0.8787682  0.12123176],
0,[0.99835724 0.00164275],
0,[0.9523991  0.04760095],
1,[0.02459268 0.9754073 ],
0,[0.9986772  0.00132275],
0,[9.9957937e-01 4.2065600e-04],
0,[0.99648094 0.00351902],
0,[0.9966599  0.00334017],
0,[0.996225   0.00377504],
0,[9.990299e-01 9.700827e-04],
1,[0.07060032 0.92939967],
1,[0.02737302 0.972627  ],
0,[0.99192095 0.00807904],
0,[0.9953909  0.00460905],
0,[0.99782985 0.00217015],
0,[9.9907529e-01 9.2468155e-04],
0,[0.9963368  0.00366322],
0,[0.9959792  0.00402074],
0,[0.98280877 0.01719124],
0,[0.9815076  0.01849233],
0,[9.996320e-01 3.679624e-04],
1,[0.00614775 0.99385226],
0,[9.992932e-01 7.068258e-04],
0,[0.97278005 0.02722001],
0,[0.9938548  0.00614509],
0,[0.9981262 0.0018738],
0,[0.9978726  0.00212738],
0,[9.9986374e-01 1.3620987e-04],
1,[0.00152044 0.99847955],
0,[0.98111767 0.01888238],
0,[0.95416516 0.04583479],
1,[0.00400086 0.9959992 ],
0,[0.986585   0.01341498],
0,[0.6951933  0.30480674],
0,[0.99137294 0.00862713],
0,[0.98502594 0.0149741 ],
0,[0.9646408  0.03535923],
0,[9.992506e-01 7.493379e-04],
0,[9.9974245e-01 2.5759055e-04],
0,[0.81408006 0.18591991],
1,[0.23623933 0.7637607 ],
0,[0.9896918  0.01030813],
0,[0.9976387  0.00236134],
0,[9.9961048e-01 3.8948408e-04],
0,[9.9959093e-01 4.0902745e-04],
0,[0.9975842  0.00241576],
0,[0.99897254 0.00102745],
0,[0.9914636  0.00853642],
0,[0.9223806 0.0776194],
0,[0.9943625  0.00563754],
0,[0.99242365 0.00757629],
0,[9.991498e-01 8.502181e-04],
0,[0.4955903 0.5044097],
0,[0.99542063 0.00457937],
0,[0.5757077  0.42429236],
0,[0.99763274 0.0023672 ],
0,[0.7205522 0.2794478],
0,[0.99243903 0.00756093],
0,[0.98771465 0.01228532],
0,[9.9955577e-01 4.4426220e-04],
0,[0.9701886  0.02981134],
0,[0.06635869 0.9336414 ],
0,[0.99802303 0.00197696],
0,[0.99786097 0.00213901],
0,[0.9946991  0.00530083],
0,[9.9909079e-01 9.0918323e-04],
0,[0.99836785 0.00163217],
0,[0.9987338  0.00126623],
0,[0.9289825  0.07101744],
0,[0.989567   0.01043299],
0,[0.93929756 0.06070251],
0,[0.9962914  0.00370862],
0,[0.9836263  0.01637374],
0,[0.99826413 0.00173594],
0,[0.99868745 0.0013126 ],
0,[0.9970247  0.00297531],
0,[0.99857116 0.00142879],
1,[0.22784713 0.7721529 ],
0,[9.9919850e-01 8.0154685e-04],
0,[0.9976757  0.00232426],
0,[0.9976058  0.00239417],
0,[0.9988875 0.0011125],
0,[0.97536385 0.02463617],
0,[0.57161474 0.42838526],
0,[0.99857867 0.00142131],
0,[0.799517   0.20048302],
0,[0.9973853  0.00261471],
0,[0.9453521  0.05464793],
0,[0.7547655  0.24523447],
1,[0.516601  0.4833989],
0,[0.9962613  0.00373865],
0,[0.9921829  0.00781706],
0,[0.99539584 0.00460415],
0,[0.9934325  0.00656748],
0,[0.9974728  0.00252717],
0,[0.9940791  0.00592092],
0,[9.9959296e-01 4.0707688e-04],
0,[0.9916528 0.0083472],
0,[0.9517531  0.04824696],
0,[0.9976198  0.00238017],
0,[0.99008405 0.00991599],
0,[0.99727327 0.00272673],
0,[0.9982911  0.00170887],
0,[0.9769573  0.02304266],
0,[0.97221696 0.02778304],
0,[0.988085   0.01191508],
0,[0.9841458  0.01585415],
0,[0.9966827  0.00331734],
0,[0.9983393  0.00166066],
0,[0.9964553  0.00354469],
0,[0.99651295 0.00348713],
0,[0.95764047 0.04235955],
0,[0.993619   0.00638099],
1,[0.01002875 0.98997116],
0,[0.9442825  0.05571749],
0,[9.993412e-01 6.587416e-04],
0,[0.98999083 0.01000922],
0,[0.93758523 0.06241471],
0,[0.98616993 0.01383011],
0,[0.996633   0.00336699],
0,[0.9512548  0.04874527],
0,[0.97575504 0.02424495],
0,[0.98755705 0.01244287],
0,[0.9979526  0.00204739],
0,[0.9978083  0.00219176],
0,[0.9291199  0.07088008],
0,[0.9984841  0.00151591],
0,[0.9989913  0.00100873],
0,[0.93460834 0.06539166],
0,[0.99309546 0.00690447],
0,[0.9199495  0.08005051],
0,[0.992706   0.00729404],
0,[9.991866e-01 8.133604e-04],
1,[0.00418449 0.99581546],
0,[0.70679605 0.29320395],
0,[0.99574214 0.00425782],
0,[9.991968e-01 8.032014e-04],
0,[0.9910788  0.00892118],
0,[0.9905376  0.00946244],
0,[0.9816166  0.01838343],
0,[0.99027187 0.00972812],
0,[0.9938326  0.00616738],
1,[0.01437609 0.98562396],
1,[0.01662088 0.98337907],
0,[0.9558956  0.04410441],
0,[9.9949372e-01 5.0623016e-04],
1,[0.02382845 0.97617155],
0,[0.93383145 0.0661686 ],
0,[0.9954744  0.00452554],
0,[0.99332374 0.00667627],
0,[0.9957826 0.0042174],
0,[0.8421853  0.15781471],
0,[0.9913933  0.00860669],
0,[0.98426026 0.01573979],
0,[0.98965174 0.01034829],
0,[0.9879094  0.01209061],
0,[0.99874264 0.00125736],
0,[0.93073    0.06927003],
0,[0.9814827  0.01851734],
0,[0.9904393  0.00956066],
0,[0.99582916 0.00417078],
0,[0.9782446  0.02175542],
0,[9.9934417e-01 6.5582665e-04],
0,[9.9974233e-01 2.5769323e-04],
0,[0.99741757 0.0025824 ],
0,[0.9874713  0.01252875],
0,[9.9934930e-01 6.5065466e-04],
1,[0.01470864 0.98529136],
0,[0.9900422 0.0099578],
0,[0.96291596 0.03708408],
1,[0.01645544 0.9835445 ],
0,[0.9937331  0.00626685],
0,[0.9722138  0.02778612],
0,[0.98554987 0.01445012],
0,[0.98881686 0.01118319],
0,[0.9892406  0.01075935],
0,[9.9948466e-01 5.1525974e-04],
0,[9.997209e-01 2.790632e-04],
0,[0.9980001  0.00199993],
0,[9.9941599e-01 5.8405014e-04],
0,[0.99697196 0.00302798],
0,[0.99702966 0.00297027],
0,[0.95534015 0.04465985],
0,[0.9811903  0.01880972],
0,[0.99144846 0.00855152],
0,[0.9492318  0.05076823],
0,[0.9948902  0.00510981],
0,[9.9974734e-01 2.5261048e-04],
0,[0.9952018  0.00479816],
0,[0.9984865  0.00151351],
0,[0.99585164 0.00414839],
0,[0.9882996  0.01170034],
0,[0.99442947 0.00557059],
0,[0.9983804  0.00161963],
0,[0.9981705  0.00182944],
0,[0.92630816 0.07369184],
0,[0.99869543 0.00130458],
0,[0.91164625 0.08835375],
0,[0.9978865  0.00211348],
1,[0.00106506 0.9989349 ],
0,[0.9961867  0.00381329],
0,[0.9924625  0.00753743],
0,[0.9971523  0.00284765],
0,[0.9948797  0.00512032],
0,[0.9921697  0.00783031],
0,[9.9958068e-01 4.1934638e-04],
0,[0.99708384 0.00291619],
0,[0.9684903  0.03150962],
0,[0.9981627  0.00183731],
0,[0.9989128  0.00108717],
0,[0.9541145  0.04588552],
0,[0.945779   0.05422098],
1,[0.12710829 0.8728917 ],
0,[0.99091023 0.00908972],
0,[9.9937445e-01 6.2559679e-04],
0,[0.9908688  0.00913127],
0,[0.997543   0.00245706],
0,[0.9971052  0.00289483],
0,[9.992378e-01 7.621892e-04],
0,[9.9975079e-01 2.4923062e-04],
0,[9.9925023e-01 7.4972934e-04],
0,[0.99729174 0.00270818],
0,[0.9880327  0.01196734],
0,[0.9472377  0.05276235],
0,[0.9722086  0.02779136],
0,[0.9976439  0.00235612],
0,[0.99659985 0.00340013],
0,[9.9906117e-01 9.3888323e-04],
0,[0.98061246 0.01938751],
0,[0.9983612  0.00163882],
0,[0.9977156  0.00228447],
0,[0.99573344 0.00426658],
0,[9.992250e-01 7.749242e-04],
0,[0.96737415 0.03262584],
0,[0.9977902  0.00220976],
0,[0.9420929  0.05790709],
0,[0.45778075 0.5422193 ],
0,[0.99746835 0.00253167],
0,[0.99572575 0.00427421],
0,[0.98162603 0.01837395],
0,[0.9509989  0.04900116],
0,[9.9917406e-01 8.2593603e-04],
0,[9.9927551e-01 7.2445313e-04],
0,[0.9769668  0.02303325],
0,[0.9948249 0.0051751],
0,[9.9907047e-01 9.2958106e-04],
0,[0.72012776 0.2798722 ],
0,[0.7485055  0.25149453],
1,[0.05351898 0.946481  ],
0,[9.9915254e-01 8.4750843e-04],
0,[9.9971873e-01 2.8121486e-04],
0,[0.9911656  0.00883438],
0,[0.98082894 0.01917103],
0,[0.9967045  0.00329554],
0,[0.9922253  0.00777474],
0,[0.99526644 0.00473356],
0,[0.9981001  0.00189997],
1,[0.11483807 0.88516194],
0,[0.9700983  0.02990162],
0,[0.9954715 0.0045285],
0,[0.99711895 0.00288108],
0,[0.05044224 0.9495578 ],
0,[0.8724102 0.1275898],
0,[0.9957575 0.0042425],
1,[0.00630151 0.9936985 ],
0,[0.9950113  0.00498867],
0,[0.9941942  0.00580586],
0,[0.992226   0.00777399],
0,[0.8767145  0.12328546],
0,[0.99859995 0.00140003],
0,[0.928823   0.07117703],
0,[0.99640685 0.00359315],
0,[0.99712616 0.00287383],
0,[0.98442984 0.01557016],
0,[9.9952269e-01 4.7735238e-04],
0,[0.9899227  0.01007726],
1,[0.01740753 0.98259246],
0,[0.98747694 0.01252298],
0,[0.99553984 0.00446016],
0,[0.9985701  0.00142991],
0,[0.9895336  0.01046635],
0,[0.92909926 0.07090066],
0,[0.76879954 0.23120044],
0,[0.99835557 0.00164445],
0,[0.99503183 0.00496816],
0,[0.98815024 0.0118498 ],
0,[0.9977374  0.00226255],
0,[9.994838e-01 5.161082e-04],
0,[0.99808204 0.00191792],
0,[0.99798226 0.00201768],
0,[9.996462e-01 3.538312e-04],
0,[0.99296194 0.00703811],
0,[0.99895906 0.00104098],
0,[0.99324954 0.00675047],
0,[0.99450475 0.00549526],
1,[0.1001371 0.8998629],
0,[0.8005554  0.19944455],
0,[0.9987717  0.00122829],
0,[0.9965347  0.00346527],
0,[0.9699752  0.03002487],
0,[0.99747986 0.00252016],
0,[0.9825576  0.01744244],
0,[0.9324387  0.06756138],
0,[0.9239135  0.07608648],
0,[0.7702888  0.22971119],
0,[9.995459e-01 4.541566e-04],
0,[0.9973615  0.00263848],
1,[0.02733856 0.9726615 ],
0,[0.9850419  0.01495806],
0,[0.98917866 0.01082129],
0,[0.8762399  0.12376015],
0,[0.9987915  0.00120856],
0,[0.9831245 0.0168755],
0,[0.97208834 0.02791169],
0,[0.9988637  0.00113637],
0,[0.9981188  0.00188112],
0,[0.9975545  0.00244556],
0,[0.9049499  0.09505008],
0,[9.9902737e-01 9.7266905e-04],
0,[0.97904325 0.0209568 ],
0,[9.996898e-01 3.102293e-04],
0,[0.96992886 0.03007117],
0,[0.9942101  0.00578994],
0,[0.9183528  0.08164723],
0,[0.9988966  0.00110343],
0,[0.0655963  0.93440366],
1,[0.06844709 0.93155295],
0,[0.9983584  0.00164158],
0,[0.47677448 0.52322555],
0,[0.90924096 0.09075901],
0,[0.9959617  0.00403832],
0,[9.9966586e-01 3.3417440e-04],
0,[0.95121497 0.04878499],
0,[0.97835493 0.02164512],
1,[0.0514393 0.9485607],
0,[0.9390101  0.06098998],
0,[0.99875    0.00124996],
1,[0.0096987 0.9903014],
0,[0.9962853  0.00371465],
0,[0.9300618  0.06993821],
0,[0.99257845 0.00742152],
0,[0.99787545 0.00212451],
0,[0.9965167  0.00348325],
0,[0.99645174 0.00354823],
0,[0.06501787 0.9349821 ],
0,[0.3607892 0.6392108],
0,[0.9973356  0.00266441],
0,[0.99761033 0.00238972],
0,[9.9919087e-01 8.0912031e-04],
0,[0.9750583  0.02494172],
0,[0.99097985 0.00902008],
0,[0.99237376 0.00762619],
0,[0.59105575 0.40894425],
0,[0.9832465 0.0167535],
0,[0.99802977 0.00197016],
0,[0.89723146 0.10276851],
0,[0.9261568  0.07384317],
0,[0.8230542  0.17694584],
1,[0.01770372 0.9822963 ],
0,[0.99357104 0.00642897],
0,[0.9753575  0.02464256],
0,[9.996742e-01 3.258388e-04],
0,[0.9906741  0.00932597],
0,[0.99715614 0.0028439 ],
1,[0.07080566 0.9291944 ],
0,[9.9986005e-01 1.3995654e-04],
0,[0.9986765  0.00132349],
0,[0.9463645  0.05363555],
0,[0.99434495 0.00565502],
0,[0.99392235 0.00607765],
1,[4.063536e-04 9.995937e-01],
0,[0.97874224 0.02125781],
0,[0.99767    0.00232996],
0,[0.83021677 0.16978325],
0,[0.98957866 0.01042135],
0,[0.99566346 0.00433653],
0,[0.99498004 0.00502003],
0,[9.991880e-01 8.119634e-04],
0,[9.9975497e-01 2.4506674e-04],
0,[0.9929483  0.00705172],
0,[0.9962708  0.00372921],
0,[0.99896944 0.00103054],
0,[0.99200773 0.00799228],
0,[0.99877065 0.00122931],
0,[0.9952461  0.00475384],
0,[0.99836975 0.0016303 ],
1,[0.01232676 0.9876732 ],
0,[0.9777959  0.02220407],
0,[9.994486e-01 5.514473e-04],
0,[0.9963967  0.00360325],
0,[0.97705334 0.02294662],
0,[0.04705232 0.9529477 ],
0,[0.9988423  0.00115773],
1,[0.12411836 0.8758816 ],
0,[0.99032634 0.00967358],
0,[0.99173236 0.00826758],
0,[0.9962308  0.00376926],
0,[0.9980039  0.00199616],
0,[0.99750596 0.0024941 ],
0,[0.98288935 0.0171106 ],
0,[0.99640757 0.0035924 ],
0,[9.9960166e-01 3.9840068e-04],
0,[0.9968893  0.00311077],
0,[0.99895144 0.00104857],
0,[0.99706537 0.00293462],
0,[0.99817145 0.0018286 ],
0,[0.991024   0.00897593],
0,[0.9979802  0.00201987],
0,[0.99540555 0.00459444],
0,[0.9959282  0.00407179],
0,[0.9855215  0.01447858],
0,[0.98174185 0.01825811],
0,[0.9927246  0.00727546],
0,[0.99329764 0.00670241],
0,[0.95670354 0.0432965 ],
0,[0.99677914 0.00322092],
0,[0.9970757  0.00292432],
0,[9.9951494e-01 4.8510588e-04],
0,[9.9954790e-01 4.5208118e-04],
0,[0.9984151  0.00158483],
0,[0.99851483 0.00148516],
0,[0.90250707 0.09749293],
0,[0.99208117 0.00791878],
0,[9.9977833e-01 2.2166414e-04],
0,[0.89320165 0.1067983 ],
0,[0.97544473 0.02455532],
1,[0.00416354 0.9958365 ],
1,[0.14366974 0.8563303 ],
0,[0.9982699  0.00173005],
0,[0.99476564 0.00523438],
0,[0.9987853  0.00121465],
0,[0.41898242 0.58101755],
0,[0.91085833 0.0891417 ],
0,[0.6662335 0.3337665],
1,[0.09953318 0.9004668 ],
0,[9.9977487e-01 2.2509182e-04],
0,[0.99890566 0.00109438],
0,[0.28008103 0.71991897],
0,[0.1042871  0.89571285],
0,[9.993875e-01 6.124314e-04],
0,[0.97982556 0.02017441],
0,[0.98715127 0.01284873],
0,[0.7783783  0.22162163],
0,[0.99464816 0.00535179],
0,[0.9825149  0.01748513],
0,[9.9953580e-01 4.6426815e-04],
0,[0.9940003  0.00599972],
0,[0.8638383  0.13616168],
0,[0.99755704 0.00244299],
0,[9.992028e-01 7.972551e-04],
0,[9.994904e-01 5.096066e-04],
0,[0.9976799  0.00232016],
0,[9.9950063e-01 4.9930054e-04],
0,[0.9988637  0.00113635],
1,[0.05896024 0.94103974],
0,[0.8059271  0.19407293],
1,[0.07785954 0.9221404 ],
0,[0.99565923 0.00434081],
0,[0.9522329  0.04776713],
0,[0.3132998 0.6867002],
0,[0.98545235 0.01454759],
0,[0.96842504 0.03157501],
0,[9.996476e-01 3.523326e-04],
0,[0.15064687 0.84935313],
0,[9.9927825e-01 7.2179968e-04],
0,[0.9407549  0.05924514],
0,[0.9988456  0.00115446],
0,[0.975071   0.02492896],
0,[0.98890394 0.01109602],
0,[0.9515361  0.04846395],
0,[0.994962   0.00503798],
0,[9.9915695e-01 8.4308890e-04],
1,[0.15449081 0.84550923],
0,[0.9907836  0.00921642],
0,[0.48082837 0.51917166],
0,[0.88424045 0.11575951],
0,[0.95899856 0.04100145],
0,[0.94852555 0.05147447],
1,[0.03647576 0.9635243 ],
0,[0.9981694  0.00183052],
0,[9.9931228e-01 6.8776077e-04],
0,[9.9954849e-01 4.5153184e-04],
0,[0.9916277  0.00837235],
0,[9.9962449e-01 3.7552378e-04],
1,[0.07030933 0.92969066],
0,[0.9567415  0.04325855],
0,[9.9975246e-01 2.4754138e-04],
0,[0.995754   0.00424596],
0,[0.0140049 0.9859951],
0,[0.9940754  0.00592451],
0,[0.9989512  0.00104876],
0,[0.9988568  0.00114326],
0,[0.997029 0.002971],
0,[0.98894984 0.0110501 ],
0,[0.9887449  0.01125506],
0,[9.9961132e-01 3.8875185e-04],
0,[9.9973482e-01 2.6514637e-04],
0,[0.993316   0.00668404],
1,[0.00231969 0.9976803 ],
1,[0.05191635 0.94808364],
0,[0.99851304 0.00148693],
0,[9.9973327e-01 2.6670104e-04],
0,[0.9982256  0.00177436],
0,[0.9693177  0.03068228],
0,[9.995060e-01 4.940324e-04],
0,[0.99532384 0.0046762 ],
0,[0.9753828  0.02461722],
0,[0.99573874 0.00426123],
0,[9.990645e-01 9.355677e-04],
0,[0.9963117  0.00368822],
0,[0.8774671  0.12253289],
0,[0.9571509  0.04284912],
0,[0.99424875 0.0057513 ],
0,[0.9950605  0.00493947],
0,[9.9966848e-01 3.3154464e-04],
1,[0.03349046 0.9665096 ],
0,[9.9904627e-01 9.5366430e-04],
0,[0.9923495  0.00765048],
0,[0.96134156 0.03865841],
0,[0.9812617  0.01873836],
0,[0.97926164 0.02073833],
0,[0.99744093 0.00255911],
0,[9.9953842e-01 4.6154554e-04],
0,[9.9940550e-01 5.9453835e-04],
0,[0.8933694  0.10663067],
0,[0.998621   0.00137902],
0,[0.9975352 0.0024647],
0,[9.995715e-01 4.285208e-04],
0,[0.9879978 0.0120022],
0,[0.99724823 0.00275171],
0,[0.9737475  0.02625246],
0,[9.9971193e-01 2.8798962e-04],
0,[0.9847973  0.01520268],
0,[0.9957753  0.00422477],
1,[0.01056839 0.9894316 ],
0,[0.97605497 0.02394503],
0,[0.99873596 0.00126402],
0,[0.99893874 0.00106122],
0,[0.98270863 0.01729145],
0,[0.9981382  0.00186177],
0,[9.9962425e-01 3.7566715e-04],
0,[0.9957903  0.00420967],
0,[0.8745529  0.12544706],
0,[9.9967134e-01 3.2867386e-04],
0,[0.99231124 0.0076888 ],
0,[0.99093914 0.00906086],
0,[0.99549735 0.00450263],
0,[0.97304845 0.02695156],
0,[0.36161956 0.6383804 ],
0,[9.9963737e-01 3.6259557e-04],
0,[0.9559101  0.04408992],
0,[0.9793148  0.02068522],
1,[0.0052961  0.99470395],
0,[9.9912256e-01 8.7746239e-04],
0,[0.9395147  0.06048533],
0,[0.99648947 0.00351047],
0,[0.9867237  0.01327623],
0,[0.9963242 0.0036758],
1,[0.06253336 0.9374666 ],
0,[0.99853325 0.00146673],
0,[0.9979881  0.00201184],
0,[9.9946207e-01 5.3797336e-04],
0,[0.98294145 0.01705853],
0,[0.99636996 0.00363003],
0,[0.99619824 0.0038017 ],
0,[0.9832186  0.01678134],
0,[9.990294e-01 9.706556e-04],
0,[0.9952484  0.00475169],
0,[0.98432505 0.01567494],
0,[0.997799   0.00220099],
0,[0.9618198  0.03818015],
0,[0.9981055 0.0018944],
1,[0.37776986 0.6222301 ],
0,[9.9956495e-01 4.3502779e-04],
0,[0.99523586 0.0047641 ],
0,[0.995165   0.00483501],
0,[0.98604465 0.01395541],
1,[0.00361728 0.9963827 ],
0,[0.99287546 0.00712458],
0,[0.9887404  0.01125956],
0,[0.9782324 0.0217676],
0,[0.76306 0.23694],
0,[0.9988048  0.00119522],
0,[0.9973392  0.00266078],
1,[0.01679004 0.98320997],
0,[0.9933403  0.00665973],
0,[0.9898615  0.01013848],
0,[0.96485746 0.03514255],
0,[9.9932694e-01 6.7312765e-04],
1,[0.01996952 0.9800305 ],
0,[0.9854892  0.01451085],
0,[0.9982851 0.0017148],
0,[9.9919516e-01 8.0485246e-04],
0,[0.9974081  0.00259191],
0,[9.9940860e-01 5.9141684e-04],
0,[0.9982332  0.00176681],
0,[0.9921336  0.00786641],
0,[0.9948244  0.00517556],
1,[0.02820832 0.9717917 ],
0,[0.998767   0.00123303],
0,[0.98952734 0.01047266],
0,[0.9952354  0.00476463],
0,[0.98994094 0.01005909],
0,[9.9920481e-01 7.9525204e-04],
1,[0.01979983 0.9802002 ],
1,[0.0250412  0.97495884],
0,[0.9805376  0.01946239],
0,[0.99605054 0.00394945],
1,[9.5188594e-04 9.9904805e-01],
0,[0.96905106 0.03094897],
1,[0.0943986 0.9056014],
1,[0.21252407 0.78747594],
0,[0.9938745  0.00612544],
0,[0.99559    0.00441001],
0,[0.99784243 0.00215755],
0,[0.9976866  0.00231333],
0,[9.9937940e-01 6.2062277e-04],
0,[0.9970879  0.00291215],
0,[9.9946433e-01 5.3573155e-04],
0,[0.9660562  0.03394378],
0,[0.02360841 0.9763916 ],
0,[0.78655255 0.21344751],
0,[0.99185985 0.00814014],
0,[0.9640844 0.0359156],
0,[0.9956891  0.00431094],
0,[0.99856806 0.00143196],
0,[9.9950731e-01 4.9267476e-04],
0,[9.9970382e-01 2.9614172e-04],
0,[0.99862826 0.00137174],
0,[0.9873926 0.0126074],
0,[0.9537834  0.04621661],
0,[0.9964761  0.00352382],
0,[9.9964571e-01 3.5424868e-04],
0,[0.964758   0.03524204],
0,[9.9941635e-01 5.8366609e-04],
0,[0.99449086 0.00550915],
0,[0.9986859  0.00131413],
0,[0.996249   0.00375102],
0,[0.9356555  0.06434449],
0,[0.9851517  0.01484832],
0,[0.98935205 0.01064793],
0,[0.9853135 0.0146865],
0,[0.99399084 0.00600916],
0,[0.9963736  0.00362635],
0,[0.9987213  0.00127865],
0,[9.9943382e-01 5.6620507e-04],
0,[0.97205293 0.027947  ],
0,[0.99370676 0.0062933 ],
0,[0.9005191  0.09948098],
0,[0.9937919  0.00620814],
0,[0.94739985 0.05260012],
0,[0.9975068  0.00249323],
0,[0.997851   0.00214903],
0,[0.9163927 0.0836073],
0,[0.56929696 0.430703  ],
1,[0.29153836 0.70846164],
0,[0.9948389  0.00516107],
0,[0.8569819  0.14301814],
0,[0.99793553 0.00206444],
0,[9.9948597e-01 5.1403907e-04],
0,[0.9980246  0.00197542],
0,[0.9020307  0.09796922],
0,[0.98615044 0.01384954],
0,[0.7177356  0.28226444],
0,[0.82487077 0.17512925],
0,[0.99749017 0.00250983],
0,[9.993247e-01 6.753072e-04],
0,[0.9984659  0.00153409],
0,[0.9987488  0.00125117],
