class,predictions,softmax_output,sigmoid_output,set
0,[ 2.8607638 -3.0493615],[0.99729544 0.00270451],[0.9458725  0.04524505],train
0,[ 2.3847485 -3.4055786],[0.9969523  0.00304767],[0.91565686 0.03212157],train
0,[ 2.6164625 -2.7327602],[0.99527067 0.00472937],[0.93191355 0.06106771],train
0,[ 1.7851558 -2.7334182],[0.98921305 0.01078694],[0.8563323  0.06102999],train
0,[ 2.364061  -3.4443338],[0.9970067  0.00299326],[0.91404545 0.03093829],train
0,[ 2.1499403 -2.3259   ],[0.9887474  0.01125259],[0.8956632  0.08900052],train
0,[ 1.8275924 -1.6886147],[0.9711454  0.02885458],[0.8614747  0.15595812],train
0,[ 2.3294275 -3.4561346],[0.9969379  0.00306218],[0.9112851  0.03058644],train
0,[ 1.2836345 -1.6262373],[0.9483323  0.05166771],[0.7830678  0.16434649],train
0,[ 1.2752825 -1.7863485],[0.955282   0.04471798],[0.7816457 0.143521 ],train
0,[ 2.4657571 -2.2997453],[0.99155337 0.00844665],[0.92170614 0.09114406],train
0,[ 0.20257662 -0.2728546 ],[0.61666846 0.38333154],[0.55047166 0.43220642],train
0,[ 2.1547718 -2.6824868],[0.9921336  0.00786639],[0.8961139  0.06401472],train
0,[ 2.5393732 -2.3196082],[0.99230134 0.00769866],[0.92685634 0.08951199],train
0,[ 3.328472 -4.188121],[9.9945635e-01 5.4368703e-04],[0.9653927  0.01494794],train
0,[ 0.4559158 -1.282294 ],[0.8504595  0.14954047],[0.6120448  0.21715997],train
0,[ 0.87162215 -1.210359  ],[0.88913953 0.11086053],[0.70508313 0.22963755],train
0,[ 3.6038234 -3.8052986],[9.9939466e-01 6.0533563e-04],[0.97350186 0.02176815],train
0,[-0.06064604 -0.82574815],[0.68246037 0.31753957],[0.4848431  0.30454487],train
0,[ 2.7244918 -2.7637837],[0.99588203 0.00411794],[0.9384565  0.05931291],train
0,[ 2.141118  -2.6553447],[0.9918087  0.00819126],[0.8948358  0.06566035],train
0,[ 3.6716008 -3.4073532],[9.991580e-01 8.419448e-04],[0.9751952  0.03206645],train
0,[ 3.2769556 -4.2183924],[9.9944466e-01 5.5535481e-04],[0.9636297  0.01450869],train
0,[ 1.650709  -1.4202734],[0.95567983 0.0443202 ],[0.8389868  0.19461872],train
0,[ 1.1062819 -1.4983718],[0.9311605  0.06883951],[0.7514353  0.18266848],train
0,[ 2.5954185 -3.6725032],[0.99810743 0.00189258],[0.93056613 0.02478297],train
0,[ 1.7516245 -2.6737747],[0.9881721  0.01182786],[0.8521576 0.0645387],train
0,[ 2.3680947 -2.5460653],[0.99271166 0.00728837],[0.9143618  0.07269127],train
0,[ 3.1271718 -3.226234 ],[0.9982622  0.00173778],[0.95799977 0.03819034],train
0,[ 0.61507386 -1.0444798 ],[0.84017813 0.15982191],[0.6490973  0.26028654],train
0,[ 2.0083654 -1.7356838],[0.9768886  0.02311134],[0.8816726  0.14986199],train
0,[ 1.816165 -2.667909],[0.9888387  0.01116136],[0.86010534 0.06489374],train
0,[ 2.7339818 -2.9326894],[0.9965526  0.00344744],[0.9390023  0.05056106],train
0,[ 3.4509542 -3.48264  ],[9.990264e-01 9.735433e-04],[0.96925956 0.02981023],train
0,[ 1.8313371 -2.5628304],[0.9878015  0.01219852],[0.86192095 0.07156923],train
1,[-2.2808478  1.6043224],[0.02013076 0.9798693 ],[0.0927216  0.83262163],train
1,[-1.7468528   0.34592077],[0.1098012 0.8901988],[0.1484446  0.58562803],train
0,[ 2.7914202 -2.9423783],[0.9967757  0.00322434],[0.94221044 0.05009798],train
1,[-1.5206891  0.8169176],[0.08805592 0.9119441 ],[0.17936006 0.69358164],train
0,[ 2.5692823 -3.1999571],[0.9968876  0.00311241],[0.9288582  0.03916734],train
0,[ 2.0113633 -2.1665268],[0.9849007  0.01509934],[0.881985   0.10279692],train
0,[ 2.562184  -4.2815213],[0.99893504 0.00106501],[0.9283878  0.01363319],train
0,[ 2.933336  -3.7607772],[0.9987633  0.00123665],[0.94947    0.02273666],train
0,[ 2.2720106 -2.6013987],[0.9924108  0.00758921],[0.9065322  0.06904846],train
0,[ 1.6721362 -1.6530633],[0.9652833  0.03471674],[0.8418604  0.16069537],train
0,[ 2.407792  -2.7447698],[0.99424875 0.0057513 ],[0.91741955 0.06038271],train
0,[ 0.67593914 -0.8936151 ],[0.8277201  0.17227994],[0.6628318  0.29036435],train
0,[ 1.8076757 -2.0324318],[0.9789609  0.02103913],[0.85908073 0.11583962],train
0,[ 2.5811455 -2.2495177],[0.992082   0.00791803],[0.9296382  0.09539109],train
0,[ 0.20076798 -0.41438696],[0.6491158 0.3508842],[0.5500241 0.3978607],train
0,[ 0.8805474 -1.8900515],[0.94106627 0.05893379],[0.70693564 0.1312386 ],train
0,[ 0.7351758 -2.0583866],[0.94232696 0.05767305],[0.67594004 0.11320771],train
0,[ 1.0224897 -1.3022902],[0.91090864 0.08909138],[0.7354573  0.21377984],train
0,[ 2.1118639 -2.5554564],[0.9906901  0.00930993],[0.8920509  0.07206077],train
0,[ 2.5641046 -2.8110092],[0.9953909  0.00460905],[0.9285154  0.05673215],train
0,[ 1.8013529 -2.0783856],[0.97976184 0.02023819],[0.85831356 0.11121546],train
0,[ 2.7341797 -3.3688817],[0.997769   0.00223102],[0.93901366 0.03328227],train
0,[ 2.028758  -2.4415786],[0.98868597 0.01131399],[0.88378364 0.08005657],train
0,[ 0.04471974 -0.9488851 ],[0.7297994  0.27020064],[0.5111781 0.2791091],train
1,[-2.5491135  2.168665 ],[0.00885588 0.9911442 ],[0.07248607 0.8974001 ],train
0,[ 2.0900652 -3.1713712],[0.9948389  0.00516107],[0.8899338  0.04025741],train
0,[ 3.8716998 -3.616344 ],[9.9944061e-01 5.5942376e-04],[0.97960174 0.02617711],train
0,[ 1.5704569 -2.1239176],[0.9757402  0.02425983],[0.82784873 0.10679379],train
1,[-1.9862555  1.6518427],[0.02562823 0.97437173],[0.12065356 0.83914   ],train
0,[ 1.5340232 -2.132457 ],[0.975071   0.02492896],[0.82259417 0.10598196],train
0,[ 1.2366726 -1.7726096],[0.95299166 0.04700829],[0.7749843  0.14521809],train
0,[ 2.8795006 -2.8313859],[0.9967012  0.00329882],[0.9468237  0.05565152],train
0,[ 2.4348881 -1.7008101],[0.98426026 0.01573979],[0.9194493  0.15435949],train
0,[ 2.7016857 -3.2422972],[0.9973853  0.00261471],[0.93712604 0.03760466],train
0,[ 3.1895356 -3.099995 ],[0.99814785 0.00185219],[0.9604386  0.04310746],train
0,[ 3.6713688 -4.3372602],[9.9966753e-01 3.3246985e-04],[0.97518957 0.01290361],train
0,[ 2.8322504 -2.8109932],[0.99647117 0.00352887],[0.9443939  0.05673301],train
0,[ 2.3224447 -2.4847283],[0.99189526 0.0081047 ],[0.9107189  0.07693574],train
0,[ 3.0387254 -3.1983697],[0.9980483  0.00195171],[0.95429325 0.03922712],train
0,[ 0.6307293 -1.6402143],[0.90644187 0.09355816],[0.6526548  0.16243589],train
0,[ 2.1883311 -2.3305976],[0.9892168  0.01078315],[0.89919674 0.08862038],train
0,[ 2.539069  -2.7682755],[0.9950694  0.00493064],[0.92683566 0.05906278],train
0,[ 1.7591457 -2.5010607],[0.9860772  0.01392281],[0.8531027  0.07578386],train
0,[ 2.84299  -2.908094],[0.99683076 0.00316926],[0.94495517 0.0517549 ],train
0,[ 4.0968614 -3.2639124],[9.993647e-01 6.353023e-04],[0.98364705 0.03683017],train
0,[ 2.0220797 -1.9163376],[0.98089314 0.01910684],[0.88309586 0.12827052],train
0,[ 1.5465989 -1.7486078],[0.96426404 0.035736  ],[0.82442194 0.14822288],train
0,[ 3.760184  -3.4233415],[9.9924159e-01 7.5841165e-04],[0.97725016 0.0315739 ],train
0,[ 3.0152218 -3.2798328],[0.99815804 0.00184201],[0.9532571  0.03626956],train
0,[ 3.4132035 -4.4542046],[9.9961710e-01 3.8287928e-04],[0.9681147  0.01149588],train
1,[-2.8570216  2.0998976],[0.00698543 0.9930146 ],[0.05431949 0.8908932 ],train
0,[ 2.0250225 -2.831992 ],[0.9922863  0.00771369],[0.8833993  0.05561968],train
0,[ 1.8719059 -1.8785949],[0.9770339  0.02296613],[0.86667866 0.13255036],train
0,[ 3.6648407 -3.4284813],[9.9917006e-01 8.2994415e-04],[0.97503114 0.03141711],train
0,[ 3.86467  -3.179289],[9.9912816e-01 8.7190390e-04],[0.97946084 0.03995259],train
0,[ 2.052729  -2.9310415],[0.99319834 0.00680162],[0.886223   0.05064023],train
0,[ 2.2522404 -1.9584411],[0.9853806  0.01461936],[0.9048436  0.12363586],train
0,[ 1.3608581 -1.9239872],[0.9639052  0.03609476],[0.7958991  0.12741761],train
0,[ 2.612918  -3.6374016],[0.9980738  0.00192612],[0.93168837 0.02564564],train
1,[-2.9485624  1.8640262],[0.00806128 0.99193877],[0.0498045 0.8657655],train
0,[ 3.11923  -4.581967],[9.9954790e-01 4.5208118e-04],[0.9576791  0.01013106],train
0,[ 2.3892794 -2.2658985],[0.99057746 0.00942259],[0.9160061 0.0939869],train
0,[ 3.031221 -3.068379],[0.99776125 0.00223874],[0.9539649 0.0444306],train
0,[ 2.1821554 -3.11466  ],[0.99501747 0.00498257],[0.8986356  0.04250658],train
0,[ 4.120294 -4.276375],[9.9977440e-01 2.2556662e-04],[0.98401976 0.01370257],train
0,[ 2.299966  -2.0537803],[0.98730475 0.01269531],[0.9088742  0.11367097],train
0,[ 2.1760302 -1.881245 ],[0.982998   0.01700201],[0.8980763  0.13224593],train
0,[ 0.9103343 -1.8250295],[0.93908143 0.0609186 ],[0.7130686  0.13883147],train
0,[ 1.9693846 -2.4029546],[0.98753566 0.01246436],[0.877545   0.08294767],train
0,[ 0.5782756 -0.3313208],[0.71291757 0.2870824 ],[0.64067054 0.41791928],train
0,[ 3.6450915 -3.2217605],[0.9989593  0.00104067],[0.97454584 0.038355  ],train
1,[-2.4810362  1.0759915],[0.02773245 0.97226757],[0.07719835 0.74573463],train
0,[ 2.449734  -3.1329515],[0.99625164 0.00374834],[0.92054194 0.04176832],train
0,[ 2.3729053 -3.282279 ],[0.99651295 0.00348713],[0.91473776 0.03618415],train
0,[ 0.73117644 -0.9628187 ],[0.84474885 0.15525118],[0.6750634 0.2763142],train
0,[ 2.9659212 -3.728521 ],[0.9987638  0.00123624],[0.95101064 0.02346453],train
1,[-1.4119811   0.72288346],[0.10575406 0.8942459 ],[0.19592178 0.6732417 ],train
0,[ 3.5787866 -3.3895934],[9.9905974e-01 9.4029139e-04],[0.9728483  0.03262229],train
1,[-2.0860312  1.2503703],[0.0343433  0.96565676],[0.11046194 0.777364  ],train
0,[ 2.7387044 -3.5496795],[0.9981457  0.00185431],[0.93927217 0.02793127],train
0,[ 3.051291  -3.2156653],[0.9981055 0.0018944],[0.9548382  0.03858044],train
0,[ 1.4769067 -2.0438507],[0.97127265 0.02872736],[0.8141049  0.11467521],train
0,[ 3.2034273 -3.7303064],[9.9902666e-01 9.7340753e-04],[0.9609631  0.02342366],train
1,[-2.1653724  1.7691709],[0.01917958 0.9808204 ],[0.10290344 0.8543545 ],train
0,[ 2.9547632 -2.6964061],[0.9964988  0.00350111],[0.95048815 0.06318576],train
0,[ 2.8584576 -2.9235537],[0.99692696 0.00307304],[0.9457542  0.05100142],train
0,[-0.07329579 -0.8883213 ],[0.69317937 0.30682063],[0.48168424 0.2914564 ],train
0,[ 2.106385 -2.910877],[0.9934209  0.00657906],[0.8915222  0.05161849],train
0,[ 2.6420105 -3.0166678],[0.996525   0.00347501],[0.9335169  0.04667853],train
0,[ 3.0750258 -3.504329 ],[0.9986131  0.00138682],[0.9558507  0.02918931],train
0,[ 2.3183255 -2.628071 ],[0.99294126 0.0070588 ],[0.91038346 0.06735352],train
0,[ 3.3108745 -3.9165459],[9.992742e-01 7.258650e-04],[0.9648     0.01952109],train
0,[ 3.3225753 -4.2008085],[9.9946004e-01 5.4000929e-04],[0.9651952  0.01476227],train
0,[ 4.080973  -4.5033994],[9.9981302e-01 1.8697053e-04],[0.98338956 0.01095007],train
0,[ 1.8679346 -2.8263443],[0.9909355  0.00906454],[0.8662191  0.05591707],train
0,[ 2.8348083 -3.1178305],[0.99740773 0.00259224],[0.9445281  0.04237773],train
0,[ 0.3827294 -1.289702 ],[0.8418997  0.15810026],[0.59453124 0.21590325],train
0,[ 0.5700986 -1.4552797],[0.88343596 0.11656403],[0.6387859  0.18919036],train
0,[ 3.785437 -3.846593],[9.9951553e-01 4.8444115e-04],[0.9778049  0.02090597],train
0,[ 2.3133872 -2.7027872],[0.99341387 0.00658618],[0.9099797  0.06280909],train
0,[ 3.589485  -4.3933463],[9.9965882e-01 3.4115545e-04],[0.9731294  0.01220841],train
0,[ 3.2781246 -3.261296 ],[0.9985568  0.00144324],[0.96367073 0.0369231 ],train
0,[ 3.003228  -3.4300895],[0.9983955  0.00160453],[0.95271975 0.03136821],train
0,[ 1.8501806 -1.4047792],[0.962851   0.03714907],[0.86414826 0.19705883],train
0,[ 3.5591152 -3.7219417],[9.9931204e-01 6.8798393e-04],[0.97232383 0.02361576],train
0,[ 0.11223681 -0.7821565 ],[0.70979595 0.29020402],[0.5280298 0.3138553],train
0,[ 1.737274 -2.135687],[0.979627   0.02037301],[0.8503405  0.10567631],train
0,[ 1.7257969 -1.4858481],[0.9612702  0.03872984],[0.84887403 0.18454573],train
0,[ 2.2562401 -2.5351598],[0.9917675  0.00823249],[0.9051874  0.07342981],train
0,[ 2.259741  -2.8727753],[0.99413294 0.00586707],[0.9054875 0.0535159],train
0,[-0.50054127  0.09369494],[0.35566345 0.6443365 ],[0.37741348 0.5234066 ],train
0,[ 2.206846  -2.2722232],[0.9887833  0.01121673],[0.9008626  0.09344969],train
0,[ 2.8794622 -2.8535647],[0.9967732  0.00322682],[0.94682175 0.05449734],train
0,[ 1.8510805 -1.7446754],[0.9732929  0.02670709],[0.86425394 0.14872004],train
0,[ 3.2616777 -3.3391569],[0.9986426  0.00135739],[0.96309054 0.03425204],train
0,[ 2.5445864 -2.4612439],[0.99334586 0.0066542 ],[0.92720896 0.07862018],train
0,[ 2.4814985 -2.4571674],[0.99288684 0.00711319],[0.9228346  0.07891599],train
0,[ 2.2753968 -2.3398197],[0.99019694 0.00980299],[0.9068188  0.08787837],train
0,[ 4.0681906 -4.298304 ],[9.9976748e-01 2.3247504e-04],[0.98317945 0.01340934],train
0,[ 1.2945915 -1.5894514],[0.94705194 0.05294803],[0.7849234  0.16946109],train
1,[-1.2642585   0.39610577],[0.15971312 0.8402869 ],[0.2202417 0.5977517],train
0,[ 2.0701742 -2.3357735],[0.98794264 0.01205738],[0.88797027 0.08820324],train
0,[ 2.2327502 -2.6680315],[0.99261415 0.00738581],[0.9031521  0.06488632],train
0,[ 3.0805728 -3.4701054],[0.9985728  0.00142711],[0.9560843 0.0301749],train
0,[ 0.94505316 -1.8044817 ],[0.9398871  0.06011292],[0.72011924 0.14130639],train
0,[ 2.9506347 -3.2453692],[0.99796665 0.00203341],[0.9502934  0.03749365],train
0,[ 2.9278347 -3.1884527],[0.9977982  0.00220177],[0.94920534 0.03960259],train
0,[-0.2617398 -0.9736423],[0.67082137 0.32917857],[0.43493605 0.2741551 ],train
0,[ 4.159882 -4.274429],[9.9978274e-01 2.1723557e-04],[0.9846305  0.01372889],train
0,[ 2.2569134 -2.8023465],[0.9936898  0.00631019],[0.90524524 0.0571975 ],train
0,[ 2.5232608 -2.0524478],[0.989806   0.01019401],[0.92575645 0.11380528],train
0,[ 1.0182803 -1.5340472],[0.9277297  0.07227026],[0.7346375  0.17740229],train
0,[ 1.5329674 -1.3436078],[0.94667625 0.05332376],[0.82244    0.20691739],train
1,[-2.0419576  2.120633 ],[0.01532856 0.9846714 ],[0.11486755 0.8928925 ],train
1,[-2.0768993  1.536213 ],[0.02625962 0.9737404 ],[0.11136243 0.8229136 ],train
0,[ 2.5456111 -2.536684 ],[0.9938326  0.00616738],[0.92727804 0.07332617],train
0,[ 1.650798  -1.9777166],[0.9741313  0.02586864],[0.8389989  0.12156247],train
1,[-2.245093   1.6091914],[0.02074911 0.9792509 ],[0.09577357 0.8332991 ],train
0,[ 2.041644  -2.9602754],[0.99331987 0.0066801 ],[0.8851006  0.04925311],train
1,[-1.6168004   0.44590148],[0.11277519 0.88722485],[0.1656466 0.6096643],train
0,[ 2.6507754 -4.1018553],[0.9988336  0.00116644],[0.9340588  0.01627277],train
1,[-0.79728097  0.4303737 ],[0.22659217 0.7734078 ],[0.31060743 0.60596293],train
0,[ 3.0154436 -3.3365266],[0.9982597  0.00174028],[0.9532669  0.03433915],train
0,[ 1.019701  -1.6043736],[0.93239504 0.06760501],[0.73491436 0.16737124],train
0,[ 0.68343085 -1.9550897 ],[0.9332999  0.06670008],[0.664504   0.12399945],train
0,[ 1.3639458 -1.8973154],[0.9630757  0.03692434],[0.79640025 0.13041262],train
0,[ 1.1254805 -1.282856 ],[0.91746074 0.08253919],[0.75500387 0.21706448],train
0,[ 1.0811285 -1.5631295],[0.9336562 0.0663438],[0.74670744 0.17319804],train
0,[ 2.870938  -2.0163372],[0.99251455 0.00748549],[0.946391   0.11749826],train
0,[ 1.7640392 -2.0255558],[0.97789496 0.02210507],[0.8537148  0.11654573],train
0,[ 1.282158  -1.9351445],[0.9614802  0.03851976],[0.7828169  0.12618224],train
0,[ 3.620555  -3.5344205],[9.9921966e-01 7.8035932e-04],[0.97393    0.02834857],train
0,[ 2.3578815 -2.0819595],[0.9883398  0.01166025],[0.91355866 0.11086266],train
1,[-1.6343158  1.5070297],[0.04143365 0.95856637],[0.16323999 0.81862056],train
0,[ 3.052592  -3.0466986],[0.99776053 0.00223943],[0.9548943  0.04536022],train
0,[ 2.8807821 -2.9336464],[0.9970247  0.00297531],[0.94688827 0.05051515],train
1,[-2.7985282  1.9499377],[0.00859054 0.9914095 ],[0.05740376 0.8754398 ],train
0,[ 2.6195948 -3.6670506],[0.9981425  0.00185754],[0.9321121 0.0249151],train
0,[ 2.6872718 -3.3330207],[0.9975769  0.00242307],[0.9362714 0.0344556],train
0,[ 3.6498911 -4.1352534],[9.9958426e-01 4.1569417e-04],[0.9746646  0.01574668],train
0,[ 1.6535789 -2.9395096],[0.98997986 0.01002013],[0.8393742  0.05023466],train
1,[-1.2844235   0.74095243],[0.11656427 0.8834358 ],[0.21679819 0.6772041 ],train
0,[ 2.721721  -3.8534896],[0.99860746 0.00139257],[0.93829626 0.02076527],train
0,[ 3.8159637 -3.6052022],[9.9940193e-01 5.9809303e-04],[0.97845775 0.02646264],train
0,[ 0.44827318 -1.3439052 ],[0.8571941  0.14280584],[0.6102286  0.20686856],train
0,[ 2.7591069 -2.6154866],[0.9953885  0.00461144],[0.94042563 0.06814836],train
0,[ 2.85979   -2.5804293],[0.9956802  0.00431979],[0.94582254 0.07040863],train
0,[ 2.779114  -2.7778742],[0.9961545  0.00384554],[0.94153666 0.05853158],train
0,[ 3.278075  -3.1476493],[0.9983833  0.00161674],[0.96366894 0.041184  ],train
0,[ 4.205867 -4.118571],[9.9975759e-01 2.4245835e-04],[0.98531115 0.01600734],train
0,[ 3.4558153 -3.216884 ],[0.9987367  0.00126338],[0.96940404 0.03853527],train
0,[ 1.2707831 -2.0951333],[0.9666222  0.03337782],[0.7808768  0.10957074],train
0,[ 2.6091652 -2.8799677],[0.99588555 0.00411443],[0.93144906 0.05315276],train
0,[ 2.6535666 -2.721095 ],[0.99538887 0.00461113],[0.9342305 0.06174  ],train
0,[ 2.0298307 -2.3872583],[0.9880746  0.01192538],[0.88389367 0.08414949],train
0,[ 3.6349247 -3.3544319],[9.990792e-01 9.207908e-04],[0.9742924  0.03375034],train
0,[ 3.7414682 -4.0804358],[9.995993e-01 4.006970e-04],[0.97683024 0.01661923],train
0,[ 2.6406739 -3.2965496],[0.9973677 0.0026324],[0.9334339  0.03568975],train
0,[ 0.12122707 -0.8356499 ],[0.7224961 0.2775039],[0.5302697  0.30245176],train
0,[ 1.5671766 -1.594076 ],[0.9593499  0.04065018],[0.8273807 0.1688112],train
0,[ 2.1610034 -2.9271624],[0.9938685 0.0061315],[0.8966925  0.05082704],train
0,[ 3.5268722 -3.0409644],[0.9985971  0.00140286],[0.9714427  0.04560918],train
0,[ 2.8396852 -2.6209729],[0.99576724 0.00423276],[0.9447831  0.06780078],train
0,[ 2.8867764 -3.3451188],[0.9980381  0.00196187],[0.9471889  0.03405537],train
0,[ 1.112294  -1.5734642],[0.936181   0.06381899],[0.75255656 0.17172311],train
0,[ 0.9909379 -1.1959625],[0.899067   0.10093302],[0.72927314 0.23219424],train
0,[ 2.5422907 -2.4056294],[0.9929518  0.00704813],[0.92705387 0.08274443],train
0,[ 4.0564284 -4.357407 ],[9.9977833e-01 2.2172842e-04],[0.9829838 0.0126495],train
0,[ 1.4503328 -1.645089 ],[0.95670354 0.0432965 ],[0.8100496  0.16177379],train
1,[-1.1812836  0.7627783],[0.12520228 0.87479764],[0.23482147 0.68195665],train
1,[-2.8294241  2.1525364],[0.00681385 0.9931861 ],[0.05575471 0.8959055 ],train
0,[ 2.798971  -2.9658754],[0.99687386 0.00312607],[0.9426202  0.04899154],train
0,[ 2.7429552 -2.9625075],[0.9966833 0.0033167],[0.9395143  0.04914869],train
0,[ 2.9658191 -2.335944 ],[0.99504185 0.0049581 ],[0.9510059  0.08818953],train
0,[ 2.7330356 -2.4682827],[0.9945209  0.00547911],[0.93894804 0.07811181],train
0,[ 4.047171  -4.6779666],[9.9983752e-01 1.6242401e-04],[0.9828283  0.00921225],train
0,[ 2.2715032 -3.1283047],[0.9955029  0.00449713],[0.90648925 0.04195469],train
0,[ 2.3744252 -2.5664723],[0.9929026  0.00709745],[0.91485614 0.07132763],train
0,[ 1.8854607 -2.5641363],[0.9884517  0.01154835],[0.8682371  0.07148252],train
0,[ 3.4167862 -3.696944 ],[9.9918681e-01 8.1319147e-04],[0.96822506 0.02419908],train
0,[ 1.8366652 -1.9026715],[0.976782   0.02321798],[0.8625538  0.12980641],train
0,[ 3.5194435 -3.5444622],[9.9914527e-01 8.5469935e-04],[0.971236   0.02807328],train
0,[ 2.5450046 -2.8482563],[0.99547344 0.00452654],[0.92723715 0.05477151],train
1,[-3.534465   2.1785762],[0.00329174 0.9967083 ],[0.02834734 0.8983091 ],train
0,[ 2.9217453 -2.683875 ],[0.99633634 0.00366367],[0.94891095 0.06393158],train
0,[ 2.1808937 -2.196316 ],[0.98759544 0.01240455],[0.8985206  0.10008179],train
0,[ 1.8998712 -2.083879 ],[0.9817245  0.01827548],[0.869877  0.1106736],train
0,[ 2.244427  -3.3073342],[0.9961344  0.00386562],[0.9041687  0.03532044],train
0,[ 2.3261032 -3.3479946],[0.9965779  0.00342201],[0.911016   0.03396089],train
0,[ 2.0616775 -2.4204202],[0.98881686 0.01118319],[0.8871223  0.08162875],train
0,[-0.66156787 -0.06470077],[0.35506076 0.6449392 ],[0.34038752 0.48383045],train
0,[ 0.19518207 -0.8484137 ],[0.73954326 0.2604568 ],[0.5486412  0.29976574],train
0,[ 1.1254729 -1.3747437],[0.92415696 0.075843  ],[0.75500244 0.2018545 ],train
0,[ 2.390256  -2.3762732],[0.99156195 0.00843806],[0.91608125 0.08499997],train
0,[ 2.1828601 -3.153672 ],[0.9952106  0.00478948],[0.89869976 0.04094683],train
0,[ 2.8459356 -2.5898693],[0.9956612  0.00433882],[0.9451082  0.06979327],train
0,[ 1.8537698 -2.1963842],[0.98287857 0.01712145],[0.8645691  0.10007566],train
0,[ 1.6352187 -2.3935459],[0.9825149  0.01748513],[0.8368833  0.08366618],train
0,[ 1.0132248 -1.3251709],[0.91200745 0.08799258],[0.7336508  0.20995928],train
0,[-1.0217787  -0.26234117],[0.31876838 0.68123156],[0.26468107 0.43478826],train
0,[ 3.6502545 -4.032946 ],[9.9953973e-01 4.6028660e-04],[0.97467357 0.01741344],train
0,[ 3.2547033 -3.5714202],[0.99891615 0.00108388],[0.9628418  0.02734701],train
0,[ 2.3797593 -2.304979 ],[0.9908494  0.00915065],[0.9152708  0.09071143],train
0,[ 2.1086326 -2.1241786],[0.985696   0.01430397],[0.8917394 0.1067689],train
0,[ 2.4212668 -2.1294239],[0.9895504  0.01044956],[0.91843474 0.1062697 ],train
0,[-0.17001194 -0.57091796],[0.5989053  0.40109465],[0.4575991  0.36102504],train
1,[-0.7971382   0.84837985],[0.16171561 0.8382844 ],[0.310638   0.70022714],train
0,[ 1.225159  -1.5523826],[0.94145006 0.05854991],[0.7729702  0.17474242],train
0,[ 2.2449083 -3.6290116],[0.9971961  0.00280395],[0.90421045 0.02585612],train
0,[ 0.8873677 -0.7994687],[0.8438077  0.15619233],[0.70834666 0.31013918],train
0,[ 3.3244665 -3.205873 ],[0.9985436  0.00145639],[0.9652587  0.03894531],train
0,[ 2.2620738 -2.1412215],[0.987911   0.01208901],[0.9056869  0.10515439],train
0,[ 2.7708461 -3.0725605],[0.9971095  0.00289057],[0.94108    0.04425341],train
0,[ 1.9769422 -2.4656367],[0.9883712  0.01162874],[0.8783548  0.07830255],train
1,[-4.3449416  3.068218 ],[6.0289796e-04 9.9939704e-01],[0.01280614 0.9555626 ],train
0,[ 2.6186824 -3.1569006],[0.9969072  0.00309279],[0.9320543  0.04082023],train
0,[ 2.7496748 -2.5735333],[0.9951466  0.00485341],[0.939895   0.07086132],train
0,[ 2.1190217 -2.7980294],[0.9927326  0.00726748],[0.8927383  0.05743076],train
0,[ 0.017166  -0.2955273],[0.57754254 0.4224575 ],[0.5042914 0.4266512],train
0,[ 2.1342843 -1.6005965],[0.9766807  0.02331924],[0.894191   0.16789825],train
0,[ 0.92602515 -1.5774945 ],[0.9243882  0.07561181],[0.7162682  0.17115062],train
0,[ 1.613209  -2.2826025],[0.9800781  0.01992192],[0.8338564 0.0925741],train
0,[ 2.9417658 -3.011346 ],[0.99740905 0.00259101],[0.9498729  0.04691592],train
0,[ 2.2831838 -2.8702235],[0.9942536  0.00574647],[0.9074747  0.05364531],train
0,[ 2.514063 -2.530041],[0.9935941  0.00640594],[0.92512184 0.07377885],train
0,[ 1.4284087 -1.7889136],[0.961481   0.03851903],[0.80665326 0.14320597],train
1,[-1.9203993  1.8263587],[0.02305026 0.9769497 ],[0.12781705 0.8613273 ],train
0,[ 2.6330292 -2.9248443],[0.9961578  0.00384215],[0.9329573 0.050939 ],train
1,[-2.3689597  1.9015622],[0.01378189 0.98621815],[0.08557051 0.87006825],train
0,[ 2.5766146 -2.8630798],[0.995678   0.00432205],[0.92934126 0.05400913],train
0,[ 3.209347  -3.6232827],[0.9989231  0.00107686],[0.9611845  0.02600081],train
0,[-0.39813966 -0.1824357 ],[0.44628215 0.5537179 ],[0.4017594  0.45451713],train
1,[-1.4876261  0.7638115],[0.09522553 0.9047744 ],[0.18427831 0.6821807 ],train
0,[ 3.1323302 -3.1145053],[0.9980672  0.00193283],[0.9582068  0.04251288],train
0,[ 3.0699856 -3.6560953],[0.9988022  0.00119779],[0.95563763 0.02518264],train
0,[ 0.9923958 -1.363402 ],[0.9133939  0.08660603],[0.7295609  0.20368795],train
0,[ 2.5512846 -3.2572882],[0.9970073  0.00299273],[0.92765975 0.03706587],train
0,[ 3.0523663 -3.464001 ],[0.9985232  0.00147685],[0.95488465 0.03035405],train
0,[ 3.854031 -3.943526],[9.9958938e-01 4.1056858e-04],[0.9792458  0.01901133],train
1,[-1.6329054  0.9235849],[0.07199168 0.9280083 ],[0.16343275 0.715772  ],train
0,[ 3.0681531 -3.270445 ],[0.9982363  0.00176366],[0.9555598  0.03659913],train
0,[ 1.9132434 -2.6613142],[0.9897943  0.01020563],[0.8713831  0.06529508],train
0,[ 3.415306 -3.461147],[0.9989693  0.00103073],[0.96817946 0.03043816],train
